cliente_id,cliente_nombre,cliente_ip,cliente_mac,matched
,,172.24.79.43,e0:63:da:10:b3:66,False
,,172.24.79.54,f4:92:bf:36:00:8e,False
,,172.24.80.15,f4:92:bf:30:e4:d0,False
,,172.24.77.6,fc:ec:da:28:d4:7d,False
,,nan,nan,False
,,172.24.76.2,f4:92:bf:34:fa:82,False
,,nan,nan,False
,,172.24.51.3,e0:63:da:4a:d7:8b,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.88,fc:ec:da:0a:7f:7d,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.77.24,f4:92:bf:d8:49:8b,False
,,nan,nan,False
,,172.24.80.33,f4:92:bf:d8:50:92,False
,,nan,nan,False
,,172.24.80.62,18:e8:29:dc:0b:d4,False
,,172.24.76.63,nan,False
,,172.24.75.12,f4:92:bf:3e:d6:dd,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.79.47,fc:ec:da:9a:41:6d,False
,,172.24.51.37,fc:ec:da:28:b1:27,False
,,nan,nan,False
,,nan,nan,False
,,172.24.77.7,fc:ec:da:54:3b:1c,False
,,172.24.75.23172.24.75.19,f0:9f:c2:50:4e:7d24:5a:4c:ee:33:5d,False
,,172.24.81.67,74:83:c2:56:4d:c2,False
,,172.24.79.8,fc:ec:da:54:3c:f9,False
,,172.24.78.29,74:83:c2:56:be:35,False
,,172.24.81.62,74:ac:b9:7a:e4:a8,False
,,172.24.78.30,b4:fb:e4:de:2e:38,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.7,fc:ec:da:0a:81:f6,False
,,172.24.80.37,fc:ec:da:0a:82:44,False
,,172.24.80.19,74:83:c2:56:be:46,False
,,nan,nan,False
,,172.24.51.14,fc:ec:da:0c:a1:28,False
,,172.24.80.17,74:ac:b9:8e:f3:4a,False
,,172.24.78.6,fc:ec:da:26:99:fd,False
,,nan,nan,False
,,172.24.78.34,b4:fb:e4:68:a9:78,False
,,172.24.80.21,fc:ec:da:28:b1:1b,False
,,172.24.79.3,fc:ec:da:cc:32:7c,False
,,172.24.80.22,b4:fb:e4:de:40:74,False
,,nan,nan,False
,,172.24.79.77,fc:ec:da:28:df:d0,False
,,172.24.79.7,f4:92:bf:36:09:08,False
,,172.24.75.7172.24.51.59,d8:32:14:cd:49:a0,False
,,nan,nan,False
,,nan,nan,False
,,172.24.80.6172.24.77.34,78:8a:20:cc:b4:1d60:22:32:b8:25:b5,False
,,172.24.76.3,d8:32:14:cd:1d:f0,False
,,nan,nan,False
,,nan,nan,False
,,172.24.76.17,04:95:e6:66:43:e8,False
,,172.24.51.34,fc:ec:da:cc:2a:a8,False
,,172.24.80.134,18:e8:29:dc:10:26,False
,,172.24.81.17,78:8a:20:cc:25:52,False
,,nan,nan,False
,,nan,nan,False
,,172.24.78.61,b4:fb:e4:34:86:c1,False
,,172.24.78.2,fc:ec:da:28:e7:13,False
,,172.24.81.31,b4:fb:e4:66:45:fa,False
,,172.24.78.150,nan,False
,,172.24.76.47,60:22:32:dc:4b:f0,False
,,172.24.81.2,e8:65:d4:b3:d9:a0,False
,,172.24.81.40,nan,False
,,172.24.78.35,74:83:c2:56:c3:7a,False
,,nan,nan,False
,,172.24.78.7,fc:ec:da:0a:87:8e,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,nan,nan,False
,,172.24.51.13,e0:63:da:4a:8b:8b,False
,,nan,nan,False
,,172.24.81.39,fc:ec:da:c4:03:00,False
,,172.24.51.124,f4:92:bf:3e:cf:09,False
,,nan,nan,False
,,nan,nan,False
,,172.24.77.10,fc:ec:da:cc:26:8c,False
,,172.24.79.10,70:a7:41:20:76:c0,False
